Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 16/11/2023,Presenze al 16/11/2023,2023-11-17 15:31:50.351708
9,IL SILENZIO DELLA VENDETTA (SILENT NIGHT),'2023-11-30'30/11/2023,USA,PLAION PICTURES,15751.12,2234,15751.12,2234,2023-12-01 10:36:17.715979
10,THE OLD OAK,'2023-11-16'16/11/2023,GBR,LUCKY RED DISTRIB.,9844.48,1577,726845.84,112847,2023-12-01 10:36:17.716980
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 01/12/2023,Presenze al 01/12/2023,2023-12-02 10:27:52.243222
1,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,393931.10,59581,25814847.27,3782616,2023-12-02 10:27:52.249238
2,NAPOLEON,'2023-11-23'23/11/2023,USA,EAGLE PICTURES S.P.A.,318418.65,43183,4228725.40,569622,2023-12-02 10:27:52.249238
3,HUNGER GAMES - LA BALLATA DELL'USIGNOLO E DEL SERPENTE,'2023-11-15'15/11/2023,USA,MEDUSA FILM S.P.A.,110712.26,14678,4531779.94,600593,2023-12-02 10:27:52.249238
4,CENTO DOMENICHE,'2023-11-23'23/11/2023,ITA,VISION DISTRIBUTION,67545.95,10575,825314.57,127504,2023-12-02 10:27:52.249238
5,DIABOLIK - CHI SEI?,'2023-11-30'30/11/2023,ITA,01 DISTRIBUTION,50465.35,7604,83598.42,12861,2023-12-02 10:27:52.250239
6,HOME EDUCATION - LE REGOLE DEL MALE,'2023-11-30'30/11/2023,ITA,WARNER BROS ITALIA S.P.A.,40979.93,5374,71383.80,9613,2023-12-02 10:27:52.250239
7,LA GUERRA DEI NONNI,'2023-11-30'30/11/2023,ITA,MEDUSA FILM S.P.A.,36998.22,5670,57696.33,8977,2023-12-02 10:27:52.250239
8,IL SILENZIO DELLA VENDETTA (SILENT NIGHT),'2023-11-30'30/11/2023,USA,PLAION PICTURES,25036.05,3347,40976.77,5623,2023-12-02 10:27:52.250239
9,PALAZZINA LAF,'2023-11-30'30/11/2023,ITA,BIM DISTRIB. S.R.L.,24483.45,4001,59712.04,9469,2023-12-02 10:27:52.250239
10,THE OLD OAK,'2023-11-16'16/11/2023,GBR,LUCKY RED DISTRIB.,16691.26,2554,743746.10,115442,2023-12-02 10:27:52.250239
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 02/12/2023,Presenze al 02/12/2023,2023-12-03 11:49:58.638204
1,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,711249.80,94774,26532763.57,3878363,2023-12-03 11:49:58.638204
2,NAPOLEON,'2023-11-23'23/11/2023,USA,EAGLE PICTURES S.P.A.,710444.59,90576,4944246.99,660847,2023-12-03 11:49:58.638204
3,HUNGER GAMES - LA BALLATA DELL'USIGNOLO E DEL SERPENTE,'2023-11-15'15/11/2023,USA,MEDUSA FILM S.P.A.,217655.17,27172,4750783.61,627934,2023-12-03 11:49:58.639201
4,PRENDI IL VOLO (MIGRATION),'9999-99-99'- -,USA,UNIVERSAL S.R.L.,192296.85,27335,192296.85,27335,2023-12-03 11:49:58.639201
5,CENTO DOMENICHE,'2023-11-23'23/11/2023,ITA,VISION DISTRIBUTION,180824.89,25977,1007880.94,153743,2023-12-03 11:49:58.639201
6,DIABOLIK - CHI SEI?,'2023-11-30'30/11/2023,ITA,01 DISTRIBUTION,132034.30,18509,216015.72,31422,2023-12-03 11:49:58.639201
7,LA GUERRA DEI NONNI,'2023-11-30'30/11/2023,ITA,MEDUSA FILM S.P.A.,120417.09,17030,178471.92,26067,2023-12-03 11:49:58.639201
8,HOME EDUCATION - LE REGOLE DEL MALE,'2023-11-30'30/11/2023,ITA,WARNER BROS ITALIA S.P.A.,98136.31,12031,169854.11,21685,2023-12-03 11:49:58.640202
9,PALAZZINA LAF,'2023-11-30'30/11/2023,ITA,BIM DISTRIB. S.R.L.,63421.49,9327,123133.53,18796,2023-12-03 11:49:58.640202
10,IL SILENZIO DELLA VENDETTA (SILENT NIGHT),'2023-11-30'30/11/2023,USA,PLAION PICTURES,57518.12,7188,98672.89,12832,2023-12-03 11:49:58.640202
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 03/12/2023,Presenze al 03/12/2023,2023-12-04 11:27:17.257264
1,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,729955.63,98793,27281224.45,3980223,2023-12-04 11:27:17.261322
2,NAPOLEON,'2023-11-23'23/11/2023,USA,EAGLE PICTURES S.P.A.,582391.48,76008,5533839.47,737903,2023-12-04 11:27:17.261322
3,PRENDI IL VOLO (MIGRATION),'9999-99-99'- -,USA,UNIVERSAL S.R.L.,227272.79,32128,420871.14,59668,2023-12-04 11:27:17.261322
4,CENTO DOMENICHE,'2023-11-23'23/11/2023,ITA,VISION DISTRIBUTION,190777.09,28130,1200230.13,182138,2023-12-04 11:27:17.262827
5,HUNGER GAMES - LA BALLATA DELL'USIGNOLO E DEL SERPENTE,'2023-11-15'15/11/2023,USA,MEDUSA FILM S.P.A.,152967.54,19363,4905837.65,647580,2023-12-04 11:27:17.262827
6,LA GUERRA DEI NONNI,'2023-11-30'30/11/2023,ITA,MEDUSA FILM S.P.A.,125197.89,18176,305584.81,44559,2023-12-04 11:27:17.262827
7,DIABOLIK - CHI SEI?,'2023-11-30'30/11/2023,ITA,01 DISTRIBUTION,115536.63,16349,332456.35,47896,2023-12-04 11:27:17.262827
8,PALAZZINA LAF,'2023-11-30'30/11/2023,ITA,BIM DISTRIB. S.R.L.,74198.11,11018,198051.14,29922,2023-12-04 11:27:17.262827
9,HOME EDUCATION - LE REGOLE DEL MALE,'2023-11-30'30/11/2023,ITA,WARNER BROS ITALIA S.P.A.,49880.29,6229,220051.40,27956,2023-12-04 11:27:17.262827
10,THE OLD OAK,'2023-11-16'16/11/2023,GBR,LUCKY RED DISTRIB.,40809.92,5840,827168.14,127284,2023-12-04 11:27:17.262827
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 04/12/2023,Presenze al 04/12/2023,2023-12-05 09:49:14.948290
1,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,197553.67,34241,27492697.60,4016331,2023-12-05 09:49:14.964751
2,NAPOLEON,'2023-11-23'23/11/2023,USA,EAGLE PICTURES S.P.A.,104951.45,15288,5650431.72,754673,2023-12-05 09:49:14.964751
3,HUNGER GAMES - LA BALLATA DELL'USIGNOLO E DEL SERPENTE,'2023-11-15'15/11/2023,USA,MEDUSA FILM S.P.A.,36804.53,5221,4949170.68,653575,2023-12-05 09:49:14.964751
4,PAOLO CONTE ALLA SCALA - IL MAESTRO E' NELL'ANIMA,'2023-12-04'04/12/2023,ITA,MEDUSA FILM S.P.A.,32100.02,3775,32100.02,3775,2023-12-05 09:49:14.964751
5,DIABOLIK - CHI SEI?,'2023-11-30'30/11/2023,ITA,01 DISTRIBUTION,24191.99,3936,358522.24,52100,2023-12-05 09:49:14.964751
6,CENTO DOMENICHE,'2023-11-23'23/11/2023,ITA,VISION DISTRIBUTION,23231.92,3977,1227332.55,186667,2023-12-05 09:49:14.964751
7,LA GUERRA DEI NONNI,'2023-11-30'30/11/2023,ITA,MEDUSA FILM S.P.A.,17570.82,2920,324818.68,47701,2023-12-05 09:49:14.964751
8,PALAZZINA LAF,'2023-11-30'30/11/2023,ITA,BIM DISTRIB. S.R.L.,16013.99,2599,214463.13,32587,2023-12-05 09:49:14.964751
9,HOME EDUCATION - LE REGOLE DEL MALE,'2023-11-30'30/11/2023,ITA,WARNER BROS ITALIA S.P.A.,15896.24,2253,237438.74,30385,2023-12-05 09:49:14.965748
10,GODZILLA MINUS ONE,'2023-12-01'01/12/2023,JPN,NEXO DIGITAL S.P.A.,15162.06,1646,77014.47,8459,2023-12-05 09:49:14.965748
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 05/12/2023,Presenze al 05/12/2023,2023-12-06 10:14:23.048019
1,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,242750.24,41559,27734707.84,4057666,2023-12-06 10:14:23.052027
2,NAPOLEON,'2023-11-23'23/11/2023,USA,EAGLE PICTURES S.P.A.,127837.46,18788,5779023.18,773566,2023-12-06 10:14:23.052027
3,PAOLO CONTE ALLA SCALA - IL MAESTRO E' NELL'ANIMA,'2023-12-04'04/12/2023,ITA,MEDUSA FILM S.P.A.,52722.29,6095,84822.31,9870,2023-12-06 10:14:23.053028
4,HUNGER GAMES - LA BALLATA DELL'USIGNOLO E DEL SERPENTE,'2023-11-15'15/11/2023,USA,MEDUSA FILM S.P.A.,47366.43,6718,4996537.11,660293,2023-12-06 10:14:23.053028
5,DIABOLIK - CHI SEI?,'2023-11-30'30/11/2023,ITA,01 DISTRIBUTION,26555.81,4363,385106.55,56467,2023-12-06 10:14:23.053028
6,CENTO DOMENICHE,'2023-11-23'23/11/2023,ITA,VISION DISTRIBUTION,25356.48,4336,1252711.03,191007,2023-12-06 10:14:23.053533
7,I GOONIES 4K - WB 100TH ANNIVERSARY,'2023-12-04'04/12/2023,USA,WARNER BROS ITALIA S.P.A.,20816.21,2819,34612.42,4659,2023-12-06 10:14:23.053533
8,LA GUERRA DEI NONNI,'2023-11-30'30/11/2023,ITA,MEDUSA FILM S.P.A.,20438.73,3496,345325.41,51207,2023-12-06 10:14:23.053533
9,PALAZZINA LAF,'2023-11-30'30/11/2023,ITA,BIM DISTRIB. S.R.L.,19112.95,3269,233576.08,35856,2023-12-06 10:14:23.053533
10,GODZILLA MINUS ONE,'2023-12-01'01/12/2023,JPN,NEXO DIGITAL S.P.A.,17932.78,1947,94947.25,10406,2023-12-06 10:14:23.053533
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 06/12/2023,Presenze al 06/12/2023,2023-12-07 09:44:19.726758
1,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,251885.88,45187,27989772.22,4103382,2023-12-07 09:44:19.731269
2,NAPOLEON,'2023-11-23'23/11/2023,USA,EAGLE PICTURES S.P.A.,143567.57,22133,5922950.75,795746,2023-12-07 09:44:19.732270
3,UN COLPO DI FORTUNA (COUP DE CHANCE),'2023-12-06'06/12/2023,GBR,LUCKY RED DISTRIB.,67984.99,10466,133164.47,19668,2023-12-07 09:44:19.732270
4,PAOLO CONTE ALLA SCALA - IL MAESTRO E' NELL'ANIMA,'2023-12-04'04/12/2023,ITA,MEDUSA FILM S.P.A.,43410.18,5054,128306.49,14932,2023-12-07 09:44:19.732270
5,HUNGER GAMES - LA BALLATA DELL'USIGNOLO E DEL SERPENTE,'2023-11-15'15/11/2023,USA,MEDUSA FILM S.P.A.,43064.37,6301,5039601.48,666594,2023-12-07 09:44:19.732270
6,CENTO DOMENICHE,'2023-11-23'23/11/2023,ITA,VISION DISTRIBUTION,27942.51,4975,1280693.54,195989,2023-12-07 09:44:19.732270
7,DIABOLIK - CHI SEI?,'2023-11-30'30/11/2023,ITA,01 DISTRIBUTION,27309.11,4618,412497.66,61096,2023-12-07 09:44:19.732270
8,PALAZZINA LAF,'2023-11-30'30/11/2023,ITA,BIM DISTRIB. S.R.L.,21637.51,3989,255274.09,39856,2023-12-07 09:44:19.732270
9,GODZILLA MINUS ONE,'2023-12-01'01/12/2023,JPN,NEXO DIGITAL S.P.A.,21415.80,2280,116363.05,12686,2023-12-07 09:44:19.733269
10,LA GUERRA DEI NONNI,'2023-11-30'30/11/2023,ITA,MEDUSA FILM S.P.A.,20318.20,3559,365772.61,54782,2023-12-07 09:44:19.733269
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 07/12/2023,Presenze al 07/12/2023,2023-12-08 09:36:46.461063
1,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,251595.18,40262,28243872.40,4144235,2023-12-08 09:36:46.466075
2,NAPOLEON,'2023-11-23'23/11/2023,USA,EAGLE PICTURES S.P.A.,161848.11,21340,6085317.86,817174,2023-12-08 09:36:46.466075
3,PRENDI IL VOLO (MIGRATION),'2023-12-07'07/12/2023,USA,UNIVERSAL S.R.L.,105314.91,15765,529248.25,75882,2023-12-08 09:36:46.466581
4,UN COLPO DI FORTUNA (COUP DE CHANCE),'2023-12-06'06/12/2023,GBR,LUCKY RED DISTRIB.,98933.48,14541,233515.85,34426,2023-12-08 09:36:46.466581
5,HUNGER GAMES - LA BALLATA DELL'USIGNOLO E DEL SERPENTE,'2023-11-15'15/11/2023,USA,MEDUSA FILM S.P.A.,57965.82,7462,5097707.30,674081,2023-12-08 09:36:46.466581
6,IMPROVVISAMENTE A NATALE MI SPOSO,'2023-11-12'12/11/2023,ITA,NOTORIOUS PICT. S.P.A.,30699.75,4448,45303.91,6711,2023-12-08 09:36:46.467088
7,CENTO DOMENICHE,'2023-11-23'23/11/2023,ITA,VISION DISTRIBUTION,30051.29,4420,1309394.33,200152,2023-12-08 09:36:46.467088
8,DIABOLIK - CHI SEI?,'2023-11-30'30/11/2023,ITA,01 DISTRIBUTION,29240.62,4217,441827.28,65331,2023-12-08 09:36:46.467594
9,FERRARI,'2023-12-07'07/12/2023,USA,01 DISTRIBUTION,28661.60,3288,30061.60,3470,2023-12-08 09:36:46.467594
10,HOME EDUCATION - LE REGOLE DEL MALE,'2023-11-30'30/11/2023,ITA,WARNER BROS ITALIA S.P.A.,23788.12,2979,293148.23,38056,2023-12-08 09:36:46.467594
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 08/12/2023,Presenze al 08/12/2023,2023-12-09 11:12:22.969857
1,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,501539.94,66358,28745905.34,4210665,2023-12-09 11:12:22.975361
2,PRENDI IL VOLO (MIGRATION),'2023-12-07'07/12/2023,USA,UNIVERSAL S.R.L.,431827.13,60374,961273.88,136288,2023-12-09 11:12:22.975361
3,NAPOLEON,'2023-11-23'23/11/2023,USA,EAGLE PICTURES S.P.A.,393016.46,49991,6479023.82,867270,2023-12-09 11:12:22.975361
4,UN COLPO DI FORTUNA (COUP DE CHANCE),'2023-12-06'06/12/2023,GBR,LUCKY RED DISTRIB.,318584.42,44799,558368.07,80204,2023-12-09 11:12:22.975361
5,CENTO DOMENICHE,'2023-11-23'23/11/2023,ITA,VISION DISTRIBUTION,125193.32,18083,1434770.65,218259,2023-12-09 11:12:22.976362
6,HUNGER GAMES - LA BALLATA DELL'USIGNOLO E DEL SERPENTE,'2023-11-15'15/11/2023,USA,MEDUSA FILM S.P.A.,122507.65,15193,5220244.95,689279,2023-12-09 11:12:22.976362
7,IMPROVVISAMENTE A NATALE MI SPOSO,'2023-11-12'12/11/2023,ITA,NOTORIOUS PICT. S.P.A.,96489.74,13397,141808.65,20111,2023-12-09 11:12:22.976362
8,LA GUERRA DEI NONNI,'2023-11-30'30/11/2023,ITA,MEDUSA FILM S.P.A.,76583.58,11056,462339.14,68853,2023-12-09 11:12:22.976362
9,DIABOLIK - CHI SEI?,'2023-11-30'30/11/2023,ITA,01 DISTRIBUTION,70508.56,9735,512381.84,75074,2023-12-09 11:12:22.976362
10,LA CHIMERA,'2023-11-23'23/11/2023,ITA,01 DISTRIBUTION,47963.75,6324,360234.55,53005,2023-12-09 11:12:22.976362
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 09/12/2023,Presenze al 09/12/2023,2023-12-10 10:51:04.775735
1,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,419047.04,55571,29167413.88,4266561,2023-12-10 10:51:04.777735
2,NAPOLEON,'2023-11-23'23/11/2023,USA,EAGLE PICTURES S.P.A.,350813.95,44465,6831773.77,911990,2023-12-10 10:51:04.778737
3,PRENDI IL VOLO (MIGRATION),'2023-12-07'07/12/2023,USA,UNIVERSAL S.R.L.,349903.45,49329,1313458.83,185951,2023-12-10 10:51:04.778737
4,UN COLPO DI FORTUNA (COUP DE CHANCE),'2023-12-06'06/12/2023,GBR,LUCKY RED DISTRIB.,295742.70,41721,856753.77,122307,2023-12-10 10:51:04.778737
5,HUNGER GAMES - LA BALLATA DELL'USIGNOLO E DEL SERPENTE,'2023-11-15'15/11/2023,USA,MEDUSA FILM S.P.A.,120965.00,15049,5341341.95,704346,2023-12-10 10:51:04.778737
6,CENTO DOMENICHE,'2023-11-23'23/11/2023,ITA,VISION DISTRIBUTION,108236.95,15769,1545139.07,234369,2023-12-10 10:51:04.778737
7,IMPROVVISAMENTE A NATALE MI SPOSO,'2023-11-12'12/11/2023,ITA,NOTORIOUS PICT. S.P.A.,93194.54,12820,235234.19,32966,2023-12-10 10:51:04.778737
8,DIABOLIK - CHI SEI?,'2023-11-30'30/11/2023,ITA,01 DISTRIBUTION,68426.69,9305,581168.53,84422,2023-12-10 10:51:04.778737
9,LA GUERRA DEI NONNI,'2023-11-30'30/11/2023,ITA,MEDUSA FILM S.P.A.,66173.90,9586,528769.04,78479,2023-12-10 10:51:04.778737
10,HOME EDUCATION - LE REGOLE DEL MALE,'2023-11-30'30/11/2023,ITA,WARNER BROS ITALIA S.P.A.,48297.92,5831,376182.74,48085,2023-12-10 10:51:04.778737
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 10/12/2023,Presenze al 10/12/2023,2023-12-11 10:27:25.704700
1,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,375999.18,50946,29545178.58,4317793,2023-12-11 10:27:25.707700
2,PRENDI IL VOLO (MIGRATION),'2023-12-07'07/12/2023,USA,UNIVERSAL S.R.L.,350618.62,49860,1666319.59,236159,2023-12-11 10:27:25.708701
3,UN COLPO DI FORTUNA (COUP DE CHANCE),'2023-12-06'06/12/2023,GBR,LUCKY RED DISTRIB.,279333.10,40161,1137033.87,162607,2023-12-11 10:27:25.708701
4,NAPOLEON,'2023-11-23'23/11/2023,USA,EAGLE PICTURES S.P.A.,270282.68,35146,7103687.45,947371,2023-12-11 10:27:25.708701
5,CENTO DOMENICHE,'2023-11-23'23/11/2023,ITA,VISION DISTRIBUTION,113522.39,17096,1662966.00,252199,2023-12-11 10:27:25.708701
6,IMPROVVISAMENTE A NATALE MI SPOSO,'2023-11-12'12/11/2023,ITA,NOTORIOUS PICT. S.P.A.,78546.61,11210,314044.80,44219,2023-12-11 10:27:25.708701
7,HUNGER GAMES - LA BALLATA DELL'USIGNOLO E DEL SERPENTE,'2023-11-15'15/11/2023,USA,MEDUSA FILM S.P.A.,77065.08,9788,5418490.03,714145,2023-12-11 10:27:25.708701
8,LA GUERRA DEI NONNI,'2023-11-30'30/11/2023,ITA,MEDUSA FILM S.P.A.,74211.61,10980,603306.65,89511,2023-12-11 10:27:25.708701
9,DIABOLIK - CHI SEI?,'2023-11-30'30/11/2023,ITA,01 DISTRIBUTION,53408.23,7422,635093.26,91919,2023-12-11 10:27:25.709703
10,PALAZZINA LAF,'2023-11-30'30/11/2023,ITA,BIM DISTRIB. S.R.L.,52740.06,7676,421477.24,64370,2023-12-11 10:27:25.709703
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 11/12/2023,Presenze al 11/12/2023,2023-12-12 11:03:02.477429
1,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,114389.65,20336,29669536.23,4339584,2023-12-12 11:03:02.480429
2,NAPOLEON,'2023-11-23'23/11/2023,USA,EAGLE PICTURES S.P.A.,53599.93,7989,7160605.58,955752,2023-12-12 11:03:02.480429
3,UN COLPO DI FORTUNA (COUP DE CHANCE),'2023-12-06'06/12/2023,GBR,LUCKY RED DISTRIB.,46893.78,7819,1186819.35,170800,2023-12-12 11:03:02.480429
4,PRENDI IL VOLO (MIGRATION),'2023-12-07'07/12/2023,USA,UNIVERSAL S.R.L.,34664.84,5853,1705179.84,242553,2023-12-12 11:03:02.480429
5,LA CHIMERA,'2023-11-23'23/11/2023,ITA,01 DISTRIBUTION,19312.73,2910,474584.27,68610,2023-12-12 11:03:02.481935
6,HUNGER GAMES - LA BALLATA DELL'USIGNOLO E DEL SERPENTE,'2023-11-15'15/11/2023,USA,MEDUSA FILM S.P.A.,19045.46,2611,5438956.99,716919,2023-12-12 11:03:02.481935
7,CENTO DOMENICHE,'2023-11-23'23/11/2023,ITA,VISION DISTRIBUTION,16004.28,2817,1682523.16,255527,2023-12-12 11:03:02.481935
8,IMPROVVISAMENTE A NATALE MI SPOSO,'2023-11-12'12/11/2023,ITA,NOTORIOUS PICT. S.P.A.,11371.01,1779,325582.81,46024,2023-12-12 11:03:02.481935
9,PALAZZINA LAF,'2023-11-30'30/11/2023,ITA,BIM DISTRIB. S.R.L.,10706.23,1764,432183.47,66134,2023-12-12 11:03:02.481935
10,FERRARI,'2023-12-07'07/12/2023,USA,01 DISTRIBUTION,10234.80,1336,143186.38,16731,2023-12-12 11:03:02.481935
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 12/12/2023,Presenze al 12/12/2023,2023-12-13 09:57:46.950165
1,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,141734.25,25490,29816823.28,4366141,2023-12-13 09:57:46.953165
2,UN COLPO DI FORTUNA (COUP DE CHANCE),'2023-12-06'06/12/2023,GBR,LUCKY RED DISTRIB.,55434.91,9262,1242633.46,180126,2023-12-13 09:57:46.953165
3,NAPOLEON,'2023-11-23'23/11/2023,USA,EAGLE PICTURES S.P.A.,52446.24,7913,7213550.32,963740,2023-12-13 09:57:46.954164
4,"IO, NOI E GABER",'2023-11-06'06/11/2023,ITA,LUCKY RED DISTRIB.,46328.20,6658,546846.34,73553,2023-12-13 09:57:46.954164
5,PRENDI IL VOLO (MIGRATION),'2023-12-07'07/12/2023,USA,UNIVERSAL S.R.L.,37969.80,6217,1743622.14,248864,2023-12-13 09:57:46.954164
6,HUNGER GAMES - LA BALLATA DELL'USIGNOLO E DEL SERPENTE,'2023-11-15'15/11/2023,USA,MEDUSA FILM S.P.A.,19857.75,2862,5458913.44,719796,2023-12-13 09:57:46.954164
7,ROYAL OPERA HOUSE 2023/2024,'2023-09-20'20/09/2023,GBR,NEXO DIGITAL S.P.A.,19784.50,1916,35873.50,3496,2023-12-13 09:57:46.954164
8,CENTO DOMENICHE,'2023-11-23'23/11/2023,ITA,VISION DISTRIBUTION,17048.16,3139,1699596.22,258669,2023-12-13 09:57:46.954164
9,LA CHIMERA,'2023-11-23'23/11/2023,ITA,01 DISTRIBUTION,16355.25,2514,490939.52,71124,2023-12-13 09:57:46.954164
10,IO CAPITANO,'2023-09-07'07/09/2023,COP,01 DISTRIBUTION,13680.66,3693,4393050.96,773435,2023-12-13 09:57:46.954164
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 13/12/2023,Presenze al 13/12/2023,2023-12-14 11:22:19.247285
1,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,157361.75,29227,29976654.43,4395868,2023-12-14 11:22:19.250285
2,NAPOLEON,'2023-11-23'23/11/2023,USA,EAGLE PICTURES S.P.A.,63772.88,10160,7277550.20,973934,2023-12-14 11:22:19.250285
3,UN COLPO DI FORTUNA (COUP DE CHANCE),'2023-12-06'06/12/2023,GBR,LUCKY RED DISTRIB.,63352.58,11247,1306085.94,191390,2023-12-14 11:22:19.251288
4,"IO, NOI E GABER",'2023-11-06'06/11/2023,ITA,LUCKY RED DISTRIB.,50717.52,7301,597563.86,80854,2023-12-14 11:22:19.251288
5,PRENDI IL VOLO (MIGRATION),'2023-12-07'07/12/2023,USA,UNIVERSAL S.R.L.,47904.41,8413,1791726.55,257314,2023-12-14 11:22:19.251288
6,HUNGER GAMES - LA BALLATA DELL'USIGNOLO E DEL SERPENTE,'2023-11-15'15/11/2023,USA,MEDUSA FILM S.P.A.,22025.84,3349,5480974.38,723152,2023-12-14 11:22:19.251288
7,LA CHIMERA,'2023-11-23'23/11/2023,ITA,01 DISTRIBUTION,20828.53,3606,511768.05,74730,2023-12-14 11:22:19.251288
8,CENTO DOMENICHE,'2023-11-23'23/11/2023,ITA,VISION DISTRIBUTION,17223.75,3082,1716819.97,261751,2023-12-14 11:22:19.251288
9,PALAZZINA LAF,'2023-11-30'30/11/2023,ITA,BIM DISTRIB. S.R.L.,13857.35,2633,455603.32,70399,2023-12-14 11:22:19.251288
10,DIABOLIK - CHI SEI?,'2023-11-30'30/11/2023,ITA,01 DISTRIBUTION,13532.24,2362,670001.95,97643,2023-12-14 11:22:19.251288
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 14/12/2023,Presenze al 14/12/2023,2023-12-15 10:55:06.124244
1,WONKA,'2023-12-14'14/12/2023,USA,WARNER BROS ITALIA S.P.A.,412146.23,57049,418583.53,57860,2023-12-15 10:55:06.125243
2,SANTOCIELO,'2023-12-14'14/12/2023,ITA,MEDUSA FILM S.P.A.,124073.40,18372,148721.24,21592,2023-12-15 10:55:06.125243
3,FERRARI,'2023-12-07'07/12/2023,USA,01 DISTRIBUTION,106480.12,14843,270450.26,34401,2023-12-15 10:55:06.126247
4,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,89587.46,16829,30070045.21,4413504,2023-12-15 10:55:06.126247
5,ADAGIO,'2023-12-14'14/12/2023,ITA,VISION DISTRIBUTION,43466.90,6546,50653.70,7546,2023-12-15 10:55:06.126247
6,UN COLPO DI FORTUNA (COUP DE CHANCE),'2023-12-06'06/12/2023,GBR,LUCKY RED DISTRIB.,30841.69,4876,1337446.23,196356,2023-12-15 10:55:06.126247
7,NAPOLEON,'2023-11-23'23/11/2023,USA,EAGLE PICTURES S.P.A.,26647.04,3739,7305498.60,977925,2023-12-15 10:55:06.126247
8,PRENDI IL VOLO (MIGRATION),'2023-12-07'07/12/2023,USA,UNIVERSAL S.R.L.,19771.32,3376,1812036.47,260789,2023-12-15 10:55:06.126247
9,LA CHIMERA,'2023-11-23'23/11/2023,ITA,01 DISTRIBUTION,14609.80,2172,526430.85,76911,2023-12-15 10:55:06.126247
10,HUNGER GAMES - LA BALLATA DELL'USIGNOLO E DEL SERPENTE,'2023-11-15'15/11/2023,USA,MEDUSA FILM S.P.A.,6272.70,864,5487392.48,724040,2023-12-15 10:55:06.126247
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 15/12/2023,Presenze al 15/12/2023,2023-12-16 09:45:52.197955
1,WONKA,'2023-12-14'14/12/2023,USA,WARNER BROS ITALIA S.P.A.,545043.72,74073,966798.25,132366,2023-12-16 09:45:52.203463
2,SANTOCIELO,'2023-12-14'14/12/2023,ITA,MEDUSA FILM S.P.A.,177157.71,25907,328682.35,47776,2023-12-16 09:45:52.203463
3,FERRARI,'2023-12-07'07/12/2023,USA,01 DISTRIBUTION,131697.60,18006,403649.46,52597,2023-12-16 09:45:52.203463
4,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,128849.87,22352,30200146.98,4436076,2023-12-16 09:45:52.203463
5,ADAGIO,'2023-12-14'14/12/2023,ITA,VISION DISTRIBUTION,61684.28,9056,112148.38,16623,2023-12-16 09:45:52.203463
